symptoms,disease,description,precautions
"vomiting, severe headache, nausea",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"nausea, severe headache, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"fatigue, body ache, sore throat",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"cough, shortness of breath, wheezing",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"shortness of breath, dizziness, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"vomiting, stomach pain, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"wheezing, cough, chest tightness",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"pale skin, dizziness, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"shortness of breath, headache, chest pain",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"blurred vision, fatigue, increased thirst",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"pale skin, fatigue, shortness of breath",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"sneezing, sore throat, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"blurred vision, fatigue, increased thirst",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"pale skin, shortness of breath, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"increased thirst, fatigue, frequent urination",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"vomiting, sensitivity to light, severe headache",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"cough, fever, fatigue",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"frequent urination, increased thirst, blurred vision",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"cough, body ache, fever",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"blurred vision, fatigue, frequent urination",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"increased thirst, blurred vision, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"stomach pain, vomiting, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"stomach pain, diarrhea, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"dizziness, shortness of breath, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"chest pain, headache, dizziness",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"severe headache, nausea, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"frequent urination, blurred vision, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"cough, runny nose, sore throat",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"sneezing, runny nose, cough",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"chest pain, headache, shortness of breath",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"stomach pain, vomiting, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"chest pain, shortness of breath, headache",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"nausea, severe headache, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"sensitivity to light, severe headache, nausea",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"blurred vision, frequent urination, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"nausea, sensitivity to light, severe headache",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"dizziness, shortness of breath, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"fever, stomach pain, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"blurred vision, increased thirst, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"cough, sore throat, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"chest tightness, cough, shortness of breath",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"sneezing, sore throat, cough",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"nausea, vomiting, severe headache",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"stomach pain, vomiting, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"shortness of breath, fatigue, dizziness",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"sneezing, sore throat, cough",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
